,0,1,2,3,4
0,NUI_PT,NAME,time,state,county
1,3862,"Adams County, IN",2015,18,001
2,37602,"Allen County, IN",2015,18,003
3,6974,"Bartholomew County, IN",2015,18,005
4,888,"Benton County, IN",2015,18,007
5,1006,"Blackford County, IN",2015,18,009
6,4070,"Boone County, IN",2015,18,011
7,1473,"Brown County, IN",2015,18,013
8,1890,"Carroll County, IN",2015,18,015
9,4568,"Cass County, IN",2015,18,017
10,10404,"Clark County, IN",2015,18,019
11,2153,"Clay County, IN",2015,18,021
12,3476,"Clinton County, IN",2015,18,023
13,1027,"Crawford County, IN",2015,18,025
14,4644,"Daviess County, IN",2015,18,027
15,3515,"Dearborn County, IN",2015,18,029
16,2169,"Decatur County, IN",2015,18,031
17,3634,"De Kalb County, IN",2015,18,033
18,9907,"Delaware County, IN",2015,18,035
19,3494,"Dubois County, IN",2015,18,037
20,27967,"Elkhart County, IN",2015,18,039
21,2287,"Fayette County, IN",2015,18,041
22,5680,"Floyd County, IN",2015,18,043
23,1436,"Fountain County, IN",2015,18,045
24,2082,"Franklin County, IN",2015,18,047
25,2277,"Fulton County, IN",2015,18,049
26,2376,"Gibson County, IN",2015,18,051
27,5412,"Grant County, IN",2015,18,053
28,3176,"Greene County, IN",2015,18,055
29,17689,"Hamilton County, IN",2015,18,057
30,4617,"Hancock County, IN",2015,18,059
31,3176,"Harrison County, IN",2015,18,061
32,10269,"Hendricks County, IN",2015,18,063
33,3935,"Henry County, IN",2015,18,065
34,6451,"Howard County, IN",2015,18,067
35,3202,"Huntington County, IN",2015,18,069
36,4151,"Jackson County, IN",2015,18,071
37,2848,"Jasper County, IN",2015,18,073
38,1968,"Jay County, IN",2015,18,075
39,2656,"Jefferson County, IN",2015,18,077
40,2519,"Jennings County, IN",2015,18,079
41,12030,"Johnson County, IN",2015,18,081
42,3146,"Knox County, IN",2015,18,083
43,8238,"Kosciusko County, IN",2015,18,085
44,8734,"Lagrange County, IN",2015,18,087
45,47220,"Lake County, IN",2015,18,089
46,9456,"La Porte County, IN",2015,18,091
47,4389,"Lawrence County, IN",2015,18,093
48,10804,"Madison County, IN",2015,18,095
49,111205,"Marion County, IN",2015,18,097
50,5260,"Marshall County, IN",2015,18,099
51,943,"Martin County, IN",2015,18,101
52,3185,"Miami County, IN",2015,18,103
53,13956,"Monroe County, IN",2015,18,105
54,4002,"Montgomery County, IN",2015,18,107
55,5756,"Morgan County, IN",2015,18,109
56,1393,"Newton County, IN",2015,18,111
57,4778,"Noble County, IN",2015,18,113
58,461,"Ohio County, IN",2015,18,115
59,1804,"Orange County, IN",2015,18,117
60,2075,"Owen County, IN",2015,18,119
61,1585,"Parke County, IN",2015,18,121
62,1375,"Perry County, IN",2015,18,123
63,983,"Pike County, IN",2015,18,125
64,12221,"Porter County, IN",2015,18,127
65,1578,"Posey County, IN",2015,18,129
66,1266,"Pulaski County, IN",2015,18,131
67,2620,"Putnam County, IN",2015,18,133
68,2391,"Randolph County, IN",2015,18,135
69,2382,"Ripley County, IN",2015,18,137
70,1645,"Rush County, IN",2015,18,139
71,25111,"St. Joseph County, IN",2015,18,141
72,2244,"Scott County, IN",2015,18,143
73,3927,"Shelby County, IN",2015,18,145
74,1764,"Spencer County, IN",2015,18,147
75,2362,"Starke County, IN",2015,18,149
76,3127,"Steuben County, IN",2015,18,151
77,1734,"Sullivan County, IN",2015,18,153
78,1151,"Switzerland County, IN",2015,18,155
79,19274,"Tippecanoe County, IN",2015,18,157
80,1248,"Tipton County, IN",2015,18,159
81,654,"Union County, IN",2015,18,161
82,14519,"Vanderburgh County, IN",2015,18,163
83,1232,"Vermillion County, IN",2015,18,165
84,9178,"Vigo County, IN",2015,18,167
85,2546,"Wabash County, IN",2015,18,169
86,671,"Warren County, IN",2015,18,171
87,3961,"Warrick County, IN",2015,18,173
88,3120,"Washington County, IN",2015,18,175
89,6546,"Wayne County, IN",2015,18,177
90,2087,"Wells County, IN",2015,18,179
91,2390,"White County, IN",2015,18,181
92,2715,"Whitley County, IN",2015,18,183
