,0,1,2,3,4
0,NUI_PT,NAME,time,state,county
1,4945,"Adams County, IN",2014,18,001
2,45469,"Allen County, IN",2014,18,003
3,9160,"Bartholomew County, IN",2014,18,005
4,1137,"Benton County, IN",2014,18,007
5,1372,"Blackford County, IN",2014,18,009
6,5175,"Boone County, IN",2014,18,011
7,1970,"Brown County, IN",2014,18,013
8,2524,"Carroll County, IN",2014,18,015
9,5542,"Cass County, IN",2014,18,017
10,13536,"Clark County, IN",2014,18,019
11,3122,"Clay County, IN",2014,18,021
12,4166,"Clinton County, IN",2014,18,023
13,1378,"Crawford County, IN",2014,18,025
14,5228,"Daviess County, IN",2014,18,027
15,4729,"Dearborn County, IN",2014,18,029
16,2829,"Decatur County, IN",2014,18,031
17,4879,"De Kalb County, IN",2014,18,033
18,13378,"Delaware County, IN",2014,18,035
19,4230,"Dubois County, IN",2014,18,037
20,33286,"Elkhart County, IN",2014,18,039
21,2878,"Fayette County, IN",2014,18,041
22,7762,"Floyd County, IN",2014,18,043
23,1831,"Fountain County, IN",2014,18,045
24,2663,"Franklin County, IN",2014,18,047
25,2952,"Fulton County, IN",2014,18,049
26,3029,"Gibson County, IN",2014,18,051
27,7068,"Grant County, IN",2014,18,053
28,3827,"Greene County, IN",2014,18,055
29,21030,"Hamilton County, IN",2014,18,057
30,6179,"Hancock County, IN",2014,18,059
31,4359,"Harrison County, IN",2014,18,061
32,12830,"Hendricks County, IN",2014,18,063
33,4854,"Henry County, IN",2014,18,065
34,8728,"Howard County, IN",2014,18,067
35,3673,"Huntington County, IN",2014,18,069
36,5897,"Jackson County, IN",2014,18,071
37,3727,"Jasper County, IN",2014,18,073
38,2650,"Jay County, IN",2014,18,075
39,3568,"Jefferson County, IN",2014,18,077
40,3330,"Jennings County, IN",2014,18,079
41,13726,"Johnson County, IN",2014,18,081
42,4017,"Knox County, IN",2014,18,083
43,10440,"Kosciusko County, IN",2014,18,085
44,8415,"Lagrange County, IN",2014,18,087
45,60789,"Lake County, IN",2014,18,089
46,11814,"La Porte County, IN",2014,18,091
47,5155,"Lawrence County, IN",2014,18,093
48,13915,"Madison County, IN",2014,18,095
49,130640,"Marion County, IN",2014,18,097
50,6997,"Marshall County, IN",2014,18,099
51,1204,"Martin County, IN",2014,18,101
52,4099,"Miami County, IN",2014,18,103
53,15616,"Monroe County, IN",2014,18,105
54,4587,"Montgomery County, IN",2014,18,107
55,8010,"Morgan County, IN",2014,18,109
56,1691,"Newton County, IN",2014,18,111
57,6567,"Noble County, IN",2014,18,113
58,609,"Ohio County, IN",2014,18,115
59,2391,"Orange County, IN",2014,18,117
60,2717,"Owen County, IN",2014,18,119
61,2247,"Parke County, IN",2014,18,121
62,1911,"Perry County, IN",2014,18,123
63,1290,"Pike County, IN",2014,18,125
64,15218,"Porter County, IN",2014,18,127
65,1936,"Posey County, IN",2014,18,129
66,1596,"Pulaski County, IN",2014,18,131
67,3650,"Putnam County, IN",2014,18,133
68,3227,"Randolph County, IN",2014,18,135
69,2899,"Ripley County, IN",2014,18,137
70,2044,"Rush County, IN",2014,18,139
71,31772,"St. Joseph County, IN",2014,18,141
72,2798,"Scott County, IN",2014,18,143
73,4683,"Shelby County, IN",2014,18,145
74,2166,"Spencer County, IN",2014,18,147
75,2861,"Starke County, IN",2014,18,149
76,3866,"Steuben County, IN",2014,18,151
77,2191,"Sullivan County, IN",2014,18,153
78,1359,"Switzerland County, IN",2014,18,155
79,21455,"Tippecanoe County, IN",2014,18,157
80,1513,"Tipton County, IN",2014,18,159
81,810,"Union County, IN",2014,18,161
82,18509,"Vanderburgh County, IN",2014,18,163
83,1673,"Vermillion County, IN",2014,18,165
84,12267,"Vigo County, IN",2014,18,167
85,3327,"Wabash County, IN",2014,18,169
86,832,"Warren County, IN",2014,18,171
87,5037,"Warrick County, IN",2014,18,173
88,3772,"Washington County, IN",2014,18,175
89,8210,"Wayne County, IN",2014,18,177
90,2858,"Wells County, IN",2014,18,179
91,2910,"White County, IN",2014,18,181
92,3328,"Whitley County, IN",2014,18,183
