,0,1,2,3,4
0,NUI_PT,NAME,time,state,county
1,3632,"Adams County, IN",2020,18,001
2,29249,"Allen County, IN",2020,18,003
3,6193,"Bartholomew County, IN",2020,18,005
4,766,"Benton County, IN",2020,18,007
5,787,"Blackford County, IN",2020,18,009
6,4151,"Boone County, IN",2020,18,011
7,1075,"Brown County, IN",2020,18,013
8,1596,"Carroll County, IN",2020,18,015
9,3572,"Cass County, IN",2020,18,017
10,8827,"Clark County, IN",2020,18,019
11,1807,"Clay County, IN",2020,18,021
12,3205,"Clinton County, IN",2020,18,023
13,966,"Crawford County, IN",2020,18,025
14,5448,"Daviess County, IN",2020,18,027
15,3123,"Dearborn County, IN",2020,18,029
16,1891,"Decatur County, IN",2020,18,031
17,2895,"De Kalb County, IN",2020,18,033
18,7204,"Delaware County, IN",2020,18,035
19,3146,"Dubois County, IN",2020,18,037
20,28438,"Elkhart County, IN",2020,18,039
21,1552,"Fayette County, IN",2020,18,041
22,4785,"Floyd County, IN",2020,18,043
23,1263,"Fountain County, IN",2020,18,045
24,1636,"Franklin County, IN",2020,18,047
25,1638,"Fulton County, IN",2020,18,049
26,1832,"Gibson County, IN",2020,18,051
27,3911,"Grant County, IN",2020,18,053
28,2182,"Greene County, IN",2020,18,055
29,13942,"Hamilton County, IN",2020,18,057
30,4398,"Hancock County, IN",2020,18,059
31,2812,"Harrison County, IN",2020,18,061
32,9131,"Hendricks County, IN",2020,18,063
33,2914,"Henry County, IN",2020,18,065
34,5249,"Howard County, IN",2020,18,067
35,2422,"Huntington County, IN",2020,18,069
36,3664,"Jackson County, IN",2020,18,071
37,2641,"Jasper County, IN",2020,18,073
38,1613,"Jay County, IN",2020,18,075
39,2176,"Jefferson County, IN",2020,18,077
40,1892,"Jennings County, IN",2020,18,079
41,9816,"Johnson County, IN",2020,18,081
42,2777,"Knox County, IN",2020,18,083
43,8170,"Kosciusko County, IN",2020,18,085
44,9735,"Lagrange County, IN",2020,18,087
45,31606,"Lake County, IN",2020,18,089
46,6819,"La Porte County, IN",2020,18,091
47,3143,"Lawrence County, IN",2020,18,093
48,9117,"Madison County, IN",2020,18,095
49,75897,"Marion County, IN",2020,18,097
50,4799,"Marshall County, IN",2020,18,099
51,722,"Martin County, IN",2020,18,101
52,2457,"Miami County, IN",2020,18,103
53,10746,"Monroe County, IN",2020,18,105
54,3147,"Montgomery County, IN",2020,18,107
55,4880,"Morgan County, IN",2020,18,109
56,1306,"Newton County, IN",2020,18,111
57,4493,"Noble County, IN",2020,18,113
58,421,"Ohio County, IN",2020,18,115
59,1679,"Orange County, IN",2020,18,117
60,1813,"Owen County, IN",2020,18,119
61,1375,"Parke County, IN",2020,18,121
62,955,"Perry County, IN",2020,18,123
63,1016,"Pike County, IN",2020,18,125
64,8762,"Porter County, IN",2020,18,127
65,1290,"Posey County, IN",2020,18,129
66,921,"Pulaski County, IN",2020,18,131
67,2085,"Putnam County, IN",2020,18,133
68,1858,"Randolph County, IN",2020,18,135
69,2113,"Ripley County, IN",2020,18,137
70,1309,"Rush County, IN",2020,18,139
71,18026,"St. Joseph County, IN",2020,18,141
72,1660,"Scott County, IN",2020,18,143
73,3260,"Shelby County, IN",2020,18,145
74,1398,"Spencer County, IN",2020,18,147
75,1746,"Starke County, IN",2020,18,149
76,2323,"Steuben County, IN",2020,18,151
77,1226,"Sullivan County, IN",2020,18,153
78,926,"Switzerland County, IN",2020,18,155
79,12553,"Tippecanoe County, IN",2020,18,157
80,1015,"Tipton County, IN",2020,18,159
81,581,"Union County, IN",2020,18,161
82,12434,"Vanderburgh County, IN",2020,18,163
83,1036,"Vermillion County, IN",2020,18,165
84,7740,"Vigo County, IN",2020,18,167
85,2087,"Wabash County, IN",2020,18,169
86,471,"Warren County, IN",2020,18,171
87,3475,"Warrick County, IN",2020,18,173
88,2204,"Washington County, IN",2020,18,175
89,4834,"Wayne County, IN",2020,18,177
90,1746,"Wells County, IN",2020,18,179
91,1991,"White County, IN",2020,18,181
92,2297,"Whitley County, IN",2020,18,183
