,0,1,2,3,4
0,NUI_PT,NAME,time,state,county
1,4240,"Adams County, IN",2019,18,001
2,33536,"Allen County, IN",2019,18,003
3,6827,"Bartholomew County, IN",2019,18,005
4,816,"Benton County, IN",2019,18,007
5,889,"Blackford County, IN",2019,18,009
6,4192,"Boone County, IN",2019,18,011
7,1177,"Brown County, IN",2019,18,013
8,1720,"Carroll County, IN",2019,18,015
9,4250,"Cass County, IN",2019,18,017
10,8738,"Clark County, IN",2019,18,019
11,1862,"Clay County, IN",2019,18,021
12,3138,"Clinton County, IN",2019,18,023
13,1039,"Crawford County, IN",2019,18,025
14,5235,"Daviess County, IN",2019,18,027
15,3329,"Dearborn County, IN",2019,18,029
16,1938,"Decatur County, IN",2019,18,031
17,3316,"De Kalb County, IN",2019,18,033
18,8911,"Delaware County, IN",2019,18,035
19,3026,"Dubois County, IN",2019,18,037
20,25976,"Elkhart County, IN",2019,18,039
21,1775,"Fayette County, IN",2019,18,041
22,5223,"Floyd County, IN",2019,18,043
23,1229,"Fountain County, IN",2019,18,045
24,1719,"Franklin County, IN",2019,18,047
25,1999,"Fulton County, IN",2019,18,049
26,2099,"Gibson County, IN",2019,18,051
27,4732,"Grant County, IN",2019,18,053
28,2644,"Greene County, IN",2019,18,055
29,17843,"Hamilton County, IN",2019,18,057
30,4734,"Hancock County, IN",2019,18,059
31,2981,"Harrison County, IN",2019,18,061
32,11029,"Hendricks County, IN",2019,18,063
33,3180,"Henry County, IN",2019,18,065
34,6419,"Howard County, IN",2019,18,067
35,2802,"Huntington County, IN",2019,18,069
36,4071,"Jackson County, IN",2019,18,071
37,2931,"Jasper County, IN",2019,18,073
38,1832,"Jay County, IN",2019,18,075
39,2218,"Jefferson County, IN",2019,18,077
40,2219,"Jennings County, IN",2019,18,079
41,11109,"Johnson County, IN",2019,18,081
42,2644,"Knox County, IN",2019,18,083
43,8085,"Kosciusko County, IN",2019,18,085
44,9514,"Lagrange County, IN",2019,18,087
45,39323,"Lake County, IN",2019,18,089
46,8550,"La Porte County, IN",2019,18,091
47,3570,"Lawrence County, IN",2019,18,093
48,10641,"Madison County, IN",2019,18,095
49,100212,"Marion County, IN",2019,18,097
50,5495,"Marshall County, IN",2019,18,099
51,752,"Martin County, IN",2019,18,101
52,2850,"Miami County, IN",2019,18,103
53,10733,"Monroe County, IN",2019,18,105
54,3368,"Montgomery County, IN",2019,18,107
55,5814,"Morgan County, IN",2019,18,109
56,1462,"Newton County, IN",2019,18,111
57,4980,"Noble County, IN",2019,18,113
58,387,"Ohio County, IN",2019,18,115
59,1746,"Orange County, IN",2019,18,117
60,2091,"Owen County, IN",2019,18,119
61,1494,"Parke County, IN",2019,18,121
62,1135,"Perry County, IN",2019,18,123
63,996,"Pike County, IN",2019,18,125
64,10367,"Porter County, IN",2019,18,127
65,1483,"Posey County, IN",2019,18,129
66,1049,"Pulaski County, IN",2019,18,131
67,2249,"Putnam County, IN",2019,18,133
68,2242,"Randolph County, IN",2019,18,135
69,2288,"Ripley County, IN",2019,18,137
70,1464,"Rush County, IN",2019,18,139
71,22075,"St. Joseph County, IN",2019,18,141
72,1794,"Scott County, IN",2019,18,143
73,3296,"Shelby County, IN",2019,18,145
74,1438,"Spencer County, IN",2019,18,147
75,1949,"Starke County, IN",2019,18,149
76,2729,"Steuben County, IN",2019,18,151
77,1379,"Sullivan County, IN",2019,18,153
78,1092,"Switzerland County, IN",2019,18,155
79,15778,"Tippecanoe County, IN",2019,18,157
80,1080,"Tipton County, IN",2019,18,159
81,603,"Union County, IN",2019,18,161
82,15281,"Vanderburgh County, IN",2019,18,163
83,1070,"Vermillion County, IN",2019,18,165
84,8240,"Vigo County, IN",2019,18,167
85,2421,"Wabash County, IN",2019,18,169
86,539,"Warren County, IN",2019,18,171
87,3948,"Warrick County, IN",2019,18,173
88,2491,"Washington County, IN",2019,18,175
89,5788,"Wayne County, IN",2019,18,177
90,2000,"Wells County, IN",2019,18,179
91,2413,"White County, IN",2019,18,181
92,2386,"Whitley County, IN",2019,18,183
