,0,1,2,3,4
0,NUI_PT,NAME,time,state,county
1,3557,"Adams County, IN",2018,18,001
2,32655,"Allen County, IN",2018,18,003
3,6572,"Bartholomew County, IN",2018,18,005
4,723,"Benton County, IN",2018,18,007
5,785,"Blackford County, IN",2018,18,009
6,3902,"Boone County, IN",2018,18,011
7,1233,"Brown County, IN",2018,18,013
8,1651,"Carroll County, IN",2018,18,015
9,3760,"Cass County, IN",2018,18,017
10,8644,"Clark County, IN",2018,18,019
11,1675,"Clay County, IN",2018,18,021
12,3114,"Clinton County, IN",2018,18,023
13,958,"Crawford County, IN",2018,18,025
14,4785,"Daviess County, IN",2018,18,027
15,2971,"Dearborn County, IN",2018,18,029
16,1719,"Decatur County, IN",2018,18,031
17,2924,"De Kalb County, IN",2018,18,033
18,8169,"Delaware County, IN",2018,18,035
19,2966,"Dubois County, IN",2018,18,037
20,25799,"Elkhart County, IN",2018,18,039
21,1746,"Fayette County, IN",2018,18,041
22,4891,"Floyd County, IN",2018,18,043
23,1221,"Fountain County, IN",2018,18,045
24,1567,"Franklin County, IN",2018,18,047
25,1814,"Fulton County, IN",2018,18,049
26,2004,"Gibson County, IN",2018,18,051
27,4186,"Grant County, IN",2018,18,053
28,2380,"Greene County, IN",2018,18,055
29,15941,"Hamilton County, IN",2018,18,057
30,4678,"Hancock County, IN",2018,18,059
31,2723,"Harrison County, IN",2018,18,061
32,9359,"Hendricks County, IN",2018,18,063
33,2898,"Henry County, IN",2018,18,065
34,5307,"Howard County, IN",2018,18,067
35,2490,"Huntington County, IN",2018,18,069
36,3825,"Jackson County, IN",2018,18,071
37,2572,"Jasper County, IN",2018,18,073
38,1804,"Jay County, IN",2018,18,075
39,2107,"Jefferson County, IN",2018,18,077
40,2130,"Jennings County, IN",2018,18,079
41,11327,"Johnson County, IN",2018,18,081
42,2601,"Knox County, IN",2018,18,083
43,7417,"Kosciusko County, IN",2018,18,085
44,8638,"Lagrange County, IN",2018,18,087
45,34909,"Lake County, IN",2018,18,089
46,7659,"La Porte County, IN",2018,18,091
47,3362,"Lawrence County, IN",2018,18,093
48,9000,"Madison County, IN",2018,18,095
49,97483,"Marion County, IN",2018,18,097
50,4798,"Marshall County, IN",2018,18,099
51,746,"Martin County, IN",2018,18,101
52,2671,"Miami County, IN",2018,18,103
53,11133,"Monroe County, IN",2018,18,105
54,2904,"Montgomery County, IN",2018,18,107
55,4941,"Morgan County, IN",2018,18,109
56,1472,"Newton County, IN",2018,18,111
57,4381,"Noble County, IN",2018,18,113
58,340,"Ohio County, IN",2018,18,115
59,1551,"Orange County, IN",2018,18,117
60,1763,"Owen County, IN",2018,18,119
61,1402,"Parke County, IN",2018,18,121
62,1106,"Perry County, IN",2018,18,123
63,855,"Pike County, IN",2018,18,125
64,11061,"Porter County, IN",2018,18,127
65,1316,"Posey County, IN",2018,18,129
66,952,"Pulaski County, IN",2018,18,131
67,2100,"Putnam County, IN",2018,18,133
68,2038,"Randolph County, IN",2018,18,135
69,2136,"Ripley County, IN",2018,18,137
70,1383,"Rush County, IN",2018,18,139
71,22470,"St. Joseph County, IN",2018,18,141
72,1701,"Scott County, IN",2018,18,143
73,2935,"Shelby County, IN",2018,18,145
74,1386,"Spencer County, IN",2018,18,147
75,1855,"Starke County, IN",2018,18,149
76,2655,"Steuben County, IN",2018,18,151
77,1446,"Sullivan County, IN",2018,18,153
78,1000,"Switzerland County, IN",2018,18,155
79,14873,"Tippecanoe County, IN",2018,18,157
80,1024,"Tipton County, IN",2018,18,159
81,516,"Union County, IN",2018,18,161
82,13867,"Vanderburgh County, IN",2018,18,163
83,1008,"Vermillion County, IN",2018,18,165
84,8013,"Vigo County, IN",2018,18,167
85,2126,"Wabash County, IN",2018,18,169
86,474,"Warren County, IN",2018,18,171
87,3547,"Warrick County, IN",2018,18,173
88,2386,"Washington County, IN",2018,18,175
89,5477,"Wayne County, IN",2018,18,177
90,1801,"Wells County, IN",2018,18,179
91,2201,"White County, IN",2018,18,181
92,2284,"Whitley County, IN",2018,18,183
